N_prog;Num_archivio;data_rilascio_prima_autorizzazione;Nome_Impresa_agricola;Azienda_zootecnica;CAP;sede_impresa_agricola;indirizzo_impresa_agricola;CCIAA;pref;tel;società;malga;PEC;indirizzo_e_mail;Altitudine;Latitudine;Longitudine;Comune_Sede_Agriturismo;Indirizzo_agriturismo;Denominazione_Agriturismo;N_appartamenti;N_stanze_in_appartamento;Tot_posti_letto_in_appartamento;N_bagni_appartamento;N_Stanze;Tot_posti_letto_in_stanze;N_bagni_in_stanze;N_tot_stanze_e_stanze_in_appartamento;Tot_posti_letto;Alloggio_in_appartamenti;Alloggio_in_stanze;Prima_colazione;Ristorazione_solo_per_alloggiati;Servizio_Ristorante_per_passanti;N_posti_tavola_interni_a_struttura;N_posti_tavola_esterni_alla_struttura;N_tot_posti_tavola;N_tot_Bagni;Agricampeggio;N_piazzole;N_tot_posti_in_campeggio;Fattoria_didattica;Altre_attività_ricreative;Degustazione;Classificazione_punteggio_tabella_1;Classificazione_punteggio_tabella_2;Classificazione_punteggio_tabella_3;ASSEGNAZIONE_MARGHERITE
300;643;15/02/2011;VENDER ORIETTA;no;38019;Tuenno;Via Stradone Vecchio 13;174272;0338;1331958;no;no;AZIENDAGRICOLAILGRANELLO@PEC.IT;fam.borghesi@virgilio.it;0;;;Tuenno;Via Stradone Vecchio 13;IL GRANELLO;2;4;9;2;0;0;0;4;9;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;18;15;15;2
301;644;09/03/2011;DELUCA LUIGI;no;38039;Pozza di Fassa;Loc. Vidor 1;150209;0340;5875302;no;no;luigi.deluca1965@pec.agritel.it;;0;;;Pozza di Fassa;Loc. Vidor 1;AGRITUR MASC FASCIANE'L;4;8;20;7;1;1;1;9;21;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;27;15;0;2
302;645;24/02/2011;TURCATO GISELLA;no;36076;Recoaro (VI);Via Turcati 1/C;199265;0339;8406194;no;si;gisella.turcato1962@pec.agritel.it;;0;;;Vallarsa;Loc. Malga Boffetal;MALGA BOFFETAL;0;0;0;0;0;0;0;0;0;no;no;no;no;si;18;2;20;1;no;0;0;si;;si;;;;
303;646;03/08/2007;Azienda Agricola Allevamento del Mazarol;no;38050;Canal S. Bovo;Loc. Zortea 92;188490;0347;5286580;si;no;MAZAROL@INNOPEC.IT;;0;;;Canal S. Bovo;Loc. Zortea 92;Azienda Agricola Allevamento del Mazarol;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;si;6;26;6;2
304;647;24/09/2009;Azienda Agricola Fontanel di Zambotti Rudi e Pasino Jacopo;no;38075;Fiave';Via 3 Novembre 111;201911;0465;735288;si;no;R.ZAMBOTTI@PEC.CHEAPNET.IT;;0;;;Fiavè;Via 3 Novembre III;Azienda Agricola Fontanel;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;no;;si;14;31;3;2
305;648;05/05/2011;BOMBARDELLI IVO;no;38060;Tenno;Via Dei Capitelli 76;175832;0464;550064;no;no;ACETAIATN@PEC.IT;;0;;;Tenno;Strada di S. Zeno 2;ACETAIA DEL BALSAMICO TRENTINO;3;2;15;3;7;14;7;9;29;si;si;si;no;si;60;0;60;2;no;0;0;si;;si;36;33;20;5
306;650;04/05/2011;SERAFINI PAOLO;no;38071;Bleggio Superiore;Località Madice 2;200527;0338;8185799;no;si;PAOLO.SERAFINI@GIORNALISTITAA.IT;;0;;;Comano Terme;Località Val Algone;MALGA NAMBI;0;0;0;0;2;3;0;2;3;no;si;si;no;si;18;2;20;1;no;0;0;no;;no;20;18;7;2
307;651;30/06/2011;Società Agricola Falda di Ferrari Antonello e Alberto S.S.;si;38081;Breguzzo;Località Corrè;178293;0335;6620950;si;si;FALDA@PEC.COLDIRETTI.IT;;0;;;Pinzolo;Località Malga Zeledria;MALGA ZELEDRIA;0;0;0;0;6;6;2;6;6;no;si;no;no;no;0;0;0;0;no;0;0;no;;no;;;;
308;652;06/07/2011;KASSEROLER KARL;si;39043;Chiusa;Via Gufidaun 68;141736;0328;937895;no;si;no pec;;0;;;Campitello di Fassa;Località Giogo di Fassa - Sasso Piatto;MALGA SASSO PIATTO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;20;0;20;1;no;0;0;no;;si;;;;
309;653;13/07/2011;PISONI GERMANO;no;38076;Lasino;Via Guà 3/A;175894;0339;7210101;no;no;PISONIGERMANO@PEC.IT;;0;;;Lasino;Via Guà 3/A;AGRITUR AI MASI;0;0;0;0;8;16;4;8;16;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;39;29;15;4
310;654;27/06/2011;TAGLIAFERRI ROSA MARI';no;38062;Arco;Via Papa Giovanni XXIII 8;162935;0464;514377;no;no;rosamari.tagliaferri@pec.agritel.it;;0;;;Arco;Via Segantini 47/G;LUXURY;3;3;9;3;0;0;0;3;9;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;19;2;2;2
311;655;09/06/2011;MARCHESONI ALESSANDRO;no;38052;Caldonazzo;Via Monterovere 3;172007;0347;1258958;no;no;alessandro.marchesoni@pec.agritel.it;;0;;;Caldonazzo;Località Torre dei Sicconi;GIARDINO DEI SICCONI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;25;0;25;1;no;0;0;si;;si;16;31;12;3
312;656;30/06/2011;AMISTADI STEFANO;no;38062;Arco;Via Frumento 11/C;180847;0464;514480;no;no;stefano.amistadi@pec.agritel.it;;0;;;Arco;Via Crosetta 4;ARCOSOLE;0;0;0;0;6;16;6;6;16;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;24;14;8;2
313;657;19/07/2011;PIAZZI LUCA;no;38020;Castelfondo;Via Dante Alighieri 64;175897;0339;6682200;no;si;luca.piazzi@pec.agritel.it;;0;;;Rabbi;Località Stableti;MALGA STABLETI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;24;36;60;1;no;0;0;no;;si;;;;
314;658;30/06/2011;RIZZARDI RENZO;no;38010;Coredo;Via G. Moncher  6;196451;0463;536141;no;no;RENZORIZZARDI@PEC.IT;;0;;;Coredo;Via G. Inama 10;AGRITUR SCOIATTOLO;0;0;0;0;6;10;4;6;10;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;23;25;10;3
315;659;25/07/2011;Società Agricola la Selvatica di Festini Capello Paola Maria Cristina e Lattuada Edoardo;no;38086;Pinzolo;Località Fogajard 36;195789;0338;2023899;si;no;laselvatica@pec.it;;0;;;Pinzolo;Località Fogajard 36;CHALET  FOGAJARD;0;0;0;0;6;12;6;6;12;no;si;si;no;si;20;0;20;1;no;0;0;no;;no;35;37;20;5
316;660;29/07/2011;TURRA LINA;no;38054;Transacqua;Via Risorgimento 22/B;183630;0439;64955;no;si;lina.turra@pec.agritel.it;;0;;;Transacqua;Località Fossetta;MALGA FOSSETTA;0;0;0;0;5;10;0;5;10;no;si;si;no;si;30;30;60;2;no;0;0;no;;si;;;;
317;662;18/08/2011;STEFENELLI TULLIO;no;38060;Nago Torbole;Via Alle Scuole 34;156706;0464;540132;no;no;tullio.stefenelli@pec.agritel.it;norma.stefenelli@alice.it;0;;;Nago Torbole;Via Alle Scuole 54;AGRITUR STEFENELLI;0;0;0;0;8;16;7;8;16;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;35;30;15;4
318;663;30/08/2011;TONEZZER ROBERTA;no;38040;Centa S. Nicolò;Località Maso Rauteri 16;162627;0335;7628953;no;no;no pec;info@masorauter.it;0;;;Centa S. Nicolò;Località Campregheri - Maso Rauteri 16;AGRITURISMO MASO RAUTER;0;0;0;0;5;9;5;5;9;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;27;28;10;3
319;664;23/08/2011;ISEPPI GIAN FRANCO;si;38060;Vallarsa;Frazione Dosso 19;156547;0347;9764723;no;si;no pec;;0;;;Trambileno;Località Malga Zocchi;MALGA ZOCCHI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;20;0;20;1;no;0;0;no;;si;;;;
320;665;22/09/2011;BRANDA KATIA;no;38053;Castello Tesino;Via F.lli Bellerin 12/E;199652;0333;1380810;no;no;KATIA.BRANDA@PEC.IT;;0;;;Castello Tesino;Località Pontara;KNEIPP HOF;0;0;0;0;0;0;0;0;0;no;no;no;no;si;20;0;20;1;no;0;0;no;;si;;;;
321;666;10/10/2011;PRETI GIONNY;no;38020;Cagnò;Via Della Croce 3;187391;0340;9049081;no;no;PRETIGIONNYLUIGI@PEC.IT;;0;;;Cagnò;Via Della Croce 3;AGRITUR FONTANELLE;0;0;0;0;3;8;3;3;8;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;;;;
322;667;27/10/2011;ANSELMI ANTONIO;no;38027;Malè;Via E. Bezzi 15;154315;0463;900081;no;no;AGRITURANSELMI@LEGALMAIL.IT;info@agrituranselmi.com;0;;;Terzolas;Via Roma 7;AGRITUR ANSELMI;1;4;5;3;12;25;12;16;30;si;si;si;no;si;32;13;45;2;no;0;0;no;;si;35;31;20;5
323;668;25/11/2011;ARMANINI MAURO;no;38089;Storo;Via Dei Veneziani 15;183054;0339;2868959;no;no;mauro.armanini@cia.legalmail.it;;0;;;Storo;Via del Sorino 44;LA POLENTERA;0;0;0;0;4;9;4;4;9;no;si;si;no;si;25;0;25;1;no;0;0;no;;si;39;34;23;5
324;670;13/12/2011;ALBERTI BORTOLO;no;38077;Comano Terme;Frazione Godenzo;198820;0465;702375;no;no;bortolo.alberti@pec.agritel.it;;0;;;Comano Terme;Frazione Poia - Loc. Galavra;EN GALAVRA;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;23;19;7;2
325;671;03/01/2012;MOSER LAURA;no;38033;Cavalese;Località Masi - Via Dellafior 7;191208;0462;235541;no;no;AGRITURLAREGINADEIPRATI@PEC.IT;;0;;;Cavalese;Località Masi - Via Dellafior 20;LA REGINA DEI PRATI;0;0;0;0;9;19;9;9;19;no;si;si;no;si;20;0;20;2;no;0;0;no;;no;37;27;17;4
326;672;30/12/2011;Agriturismo Malga Riondera di Delmonego Alice ed Andrea SSA;no;38061;Ala/Avio;Loc. Riondera;209015;0348;1454784;si;si;MALGARIONDERA@CGN.LEGALMAIL.IT;;0;;;Ala/Avio;Località Riondera;AGRITURISMO MALGA RIONDERA DI DELMONEGO ALICE ED ANDREA;3;4;14;3;4;9;4;8;23;si;si;si;no;no;0;0;0;0;no;0;0;si;;si;43;37;20;5
327;673;04/11/2011;AZIENDA AGRICOLA BIVI DI BRENTARI E VIOLA S.S.;no;38010;Coredo;Via Al Castel Bragher n. 8;197864;0463;537045;si;no;SSBIVI@PEC.IT;;0;;;Coredo;Via Al Castel Bragher 8;AZIENDA AGRICOLA BIVI;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;;;;1
328;674;23/12/2011;POLETTI ROSARIO;no;38023;Cles;Frazione Mechel n. 28;154876;0338;8731132;no;no;rosario.poletti@pec.agritel.it;;0;;;Cles;Frazione Mechel 28;AGRITUR PRIMO SOLE;0;0;0;0;10;21;9;10;21;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;37;27;18;4
329;675;09/11/2011;BRUGNARA ELENA MARIA  (Cucu Tamara - tutrice) ;no;38015;Lavis;Via Marconi 30 - Pressano;199228;0320;3025541;no;no;no pec;;0;;;Lavis;Loc. Pressano - Via Marconi 30;AGRITURISMO BRUGNARA;6;5;21;6;0;0;0;7;21;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;18;18;2;2
330;676;01/03/2012;MATTIVI LUCIANO;no;38042;Baselga di Pinè; Vigo - via 26 Maggio 30;146738;0461;558748;no;no;no pec;lucianomattivi@aurorafruit.it ;0;;;Baselga di Pinè;Vigo - via 26 Maggio 30;MATTIVI LUCIANO;2;6;10;2;0;0;0;6;10;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;13;14;0;2
331;677;29/03/2012;PISETTA BARBARA;no;38050;Fierozzo;Via Maso Bolleri 11;199890;0347;2914399;no;no;barbara.pisetta@cia.legalmail.it;;0;;;Fierozzo;Via Maso San Lorenzo 16;AGRITUR KLOPHOF;0;0;0;0;3;9;3;3;9;no;si;si;no;si;20;0;20;1;no;0;0;si;;no;36;35;21;5
332;678;23/03/2012;ANZELINI ETTORE;no;38057;Pergine Valsugana;Via Petrarca 20/B;154352;0347;9651688;no;no;ettore.anzelini@cia.legalmail.it;;0;;;Trento;Martignano - Località Maderno 16;AGRITUR AL VIGNETO;0;0;0;0;6;17;0;6;17;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;21;21;8;2
333;679;10/02/2012;FOR AI FORNI DI BONTEMPELLI GRAZIANO SOCIETA' SEMPLICE;si;38020;Pellizzano;Loc. Pressenago n. 1;209086;0463;751552;si;no;FORAIFORNI@PEC.IT;;0;;;Pellizzano;Via Pressenago;AGRITUR BONTEMPELLI;2;2;8;2;3;6;3;5;14;si;si;si;no;si;17;8;25;1;no;0;0;si;;si;37;26;18;4
334;680;28/07/2009;SOCIETA' AGRICOLA FR.LLI PELZ DI PELZ DIEGO, MICHELE E FRANCO S.S.;no;38034;Cembra;Via 4 Novembre 61;200619;0347;8144793;si;no;FRATELLI.PELZ@ARUBAPEC.IT;;0;;;Cembra;Via 4 Novembre 61;SOCIETA' AGRICOLA FR.LLI PELZ DI PELZ DIEGO, MICHELE E FRANCO S.S.;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;no;;si;;;;1
335;681;10/04/2012;GIOVANAZZI STEFANO E PIFFER LORENA SOCIETA'  SEMPLICE SOCIETA' AGRICOLA;no;38062;Arco;Fraz. S. Giorgio - Via Isce;209035;0380;7244874;si;no;GIOVANAZZIPIFFER@PEC.COLDIRETTI.IT;;0;;;Arco;Loc. S. Giorgio - Via Isce;GIOVANAZZI;1;2;4;1;7;16;7;9;20;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;22;18;4;2
336;682;06/03/2012;TINGLER HOF SOCIETA' AGRICOLA SEMPLICE;no;38050;Frassilongo;Località Maso Tingherla 181/1;28713;0339;7620475;si;no;TINGLERHOF@PEC.COLDIRETTI.IT;;0;;;Frassilongo;Frazione Roveda - Loc. Maso Tingherla 181/1;AGRITUR TINGLER HOF;0;0;0;0;2;8;2;2;8;no;si;si;no;si;20;0;20;2;no;0;0;no;;no;17;27;10;3
337;683;06/04/2012;DAI MENEGHETTI DI ANTONELLI SILVIO S.A.S.;no;38063;Avio;Frazione Sabbionara - Via Morielle 45;210429;0464;684646;si;no;DAIMENEGHETI@LEGALMAIL.IT;;0;;;Avio;Frazione Sabbionara - Via Morielle 45;AGRITUR DAI MENEGHETTI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;30;0;30;2;no;0;0;no;;no;17;29;11;3
338;684;30/03/2012;DALPONTE ANDREA;no;38077;Comano Terme;Frazione Vigo Lomaso 44;198990;0465;701144;no;no;andrea.dalponte@pec.agritel.it;;0;;;Comano Terme;Frazione Vigo Lomaso 44;AGRITUR MASO CAIANO;0;0;0;0;4;9;4;4;9;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;39;21;13;2
339;685;30/08/2010;BRUGNARA LORENZO;no;38121;Trento;Località Vigo Meano - Strada Alle Gorghe 17;205144;0461;448268;no;no;no pec;;0;;;Trento;Località Vigo Meano - Strada Alle Gorghe 17;AGRITUR ALLE GORGHE;0;0;0;0;0;0;0;0;0;no;no;no;no;si;30;0;30;2;no;0;0;no;;no;16;31;13;3
340;686;03/02/2012;ZATTA LORENA;no;38030;Valda;Via Centrale 24;174887;0461;685315;no;no;ZATTA.LORENA@PEC.IT;masobornie@gmail.com;0;;;Valda;Località Bornie 4;AGRITUR MASO BORNIE;2;3;8;2;2;4;2;5;12;si;si;si;no;no;0;0;0;0;no;0;0;no;;si;;;;
341;687;07/05/2012;Az. Agricola Ai Piedi del Carè Alto Ghezzi Rita;no;38088;Spiazzo;Frazione Borzago 54/B;197835;0339;7147619;si;no;MASOGRISUN@PEC.COLDIRETTI.IT;;0;;;Spiazzo;Frazione Borzago 54/B;AGRITUR MASO GRISUN;0;0;0;0;6;16;6;6;16;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;30;32;15;4
342;688;21/05/2012;AMISTADI BRUNO E PEDERZOLLI CARMEN SOCIETA' SEMPLICE- SOCIETA' AGRICOLA;no;38062;Arco;Via Frumento 13;190865;0464;518910;si;no;AMISTADIPEDERZOLLI@PEC.COLDIRETTI.IT;arcobedandcamping@gmail.com;0;;;Arco;Frazione Romarzollo - Via Crosetta 22;ARCO BED AND CAMPING;6;6;24;6;0;0;0;6;24;si;no;no;no;no;0;0;0;0;si;11;30;no;;no;9;10;3;2
343;689;30/05/2012;MENEGONI ANTONIO;no;38052;Caldonazzo;Via Della Villa 112;183476;0461;724829;no;no;ANTONIO.MENEGONI@PEC.CONFAGRICOLTURATN.IT;info@cortedellemele.it;0;;;Caldonazzo;Via Del Roro 12/A;CORTE DELLE MELE;0;0;0;0;8;16;8;8;16;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;31;22;10;3
344;690;12/06/2012;PAOLI ALDO;no;38050;S. Orsola Terme;Località Pintarei 53;209874;0347;8508341;no;si;aldo.paoli@pec.agritel.it;;925;;;S. Orsola Terme;Località Cambroncoi;AGRITUR CAMBRONCOI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;30;15;45;1;no;0;0;no;;si;26;32;12;3
345;691;16/05/2012;RASOM FRANCESCO;si;38039;Vigo di Fassa;Strada de Vallongia 56;155865;0339;3347577;no;si;francesco.rasom@pec.agritel.it;;0;;;Vigo di Fassa;Via Jouf de Ciareja;AGRITUR MALGA SECINE;0;0;0;0;3;5;3;3;5;no;si;si;no;si;35;0;35;2;no;0;0;no;;no;;;;
346;692;23/05/2012;MENGHINI ALDO;no;38021;Brez;via Traversara, n. 2;153155;0463;874295;no;no;aldo.menghini@pec.agritel.it;;0;;;Brez;Frazione Traversara 53;AGRITUR NEL VERDE;0;0;0;0;4;9;4;4;9;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;32;13;9;2
347;693;28/06/2012;MENGHINI PIO;no;38021;Brez;via Traversara, n. 2;153176;0463;874170;no;no;aziendasantantonio@cia.legalmail.it;;0;;;Brez;Frazione Salobbi 6;AGRITUR BEL SOGNO;0;0;0;0;7;15;7;7;15;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;28;29;15;4
348;694;06/07/2012;FELICETTI RENZO;si;38037;Predazzo;Via Mezzavalle 3/A;203548;0347;4663814;no;si;FELICETTI.RENZO@PEC.IT;;0;;;Vigo di Fassa;Località Vael;MALGA VAEL;0;0;0;0;0;0;0;0;0;no;no;no;no;si;16;4;20;1;no;0;0;no;;no;14;14;1;2
349;695;22/06/2012;BENONI LORENZO;no;38065;Mori;Località Naranch;198284;0329;2212978;no;no;MASONARANCH@POSTAGARANTITA.EU;lorenzo@naranch.it;0;;;Mori;Località Naranch;AGRITURISMO MASO NARANCH;0;0;0;0;4;9;4;4;9;no;si;si;no;si;30;0;30;2;no;0;0;no;;si;31;19;7;2
350;696;05/07/2012;IACHELINI MICHELE;no;38022;Caldes;Fraz. Samoclevo - Via di S. Vigilio 49;148922;0335;6830062;no;no;michele.iachelini@pec.agritel.it;;0;;;Caldes;Fraz. Samoclevo - Strada Provinciale 65;AGRITUR IL TEMPO DELLE MELE;0;0;0;0;8;20;8;8;20;no;si;si;no;si;20;0;20;1;no;0;0;si;;no;35;27;15;4
351;697;01/08/2012;BENUZZI PAOLA;no;38074;Dro;Loc. Oltra, n. 3;210356;0464;504218;no;no;no pec;;0;;;Dro;Località Oltra 3;AGRITUR BENUZZI OBERHOFER;1;1;2;1;5;10;5;6;12;si;si;no;no;no;0;0;0;0;si;5;20;no;;no;19;14;6;2
352;698;31/07/2012;CICCOLINI MASSIMO;si;38010;Spormaggiore;Via Fausior 59;167232;0339;2787980;no;si;CICCOLINIMASSIMO@PEC.COLDIRETTI.IT;;0;;;Spormaggiore;Località Spora;MALGA SPORA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;20;20;40;2;no;0;0;no;;no;15;23;2;2
353;699;23/05/2012;GIOVANNINI ANDREA;no;38042;B. Pinè;fr. Rizzolaga, n. 32;178800;0461;558223;no;si;POSTMASTER@PEC.MALGASTRAMAIOLO.IT;;0;;;Bedollo;Località Stramaiolo;MALGA STRAMAIOLO;0;0;0;0;8;18;8;8;18;no;si;si;no;si;60;0;60;2;no;0;0;no;;si;38;34;20;5
354;700;31/05/2012;WIDMANN MICAELA;si;38010;Coredo;Piazza Laghet 10;196688;0340;2386026;no;si;aziendaagricolasanromedio@cia.legalmail.it;;0;;;Coredo;Località Zuol;MALGA ZUOL;0;0;0;0;0;0;0;0;0;no;no;no;no;si;30;20;50;1;no;0;0;si;;si;;;;2
355;701;27/08/2012;POLI GRAZIANO;no;38070;Vezzano;Via Del Lago 1;131045;0461;864157;no;no;graziano.poli1965@pec.agritel.it;info@agrituracquastilla.it ;0;;;Arco;Via S. Caterina 63;MASO ACQUASTILLA;5;10;21;5;0;0;0;10;21;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;14;24;14;2
356;702;13/07/2012;BIANCHI ORNELLA;si;38010;Spormaggiore;Località Castel Belfort 2;147695;0461;653168;no;si;MIELEBELFORT@PEC.IT;mielebelfort@virgilio.it;0;;;Valfloriana;Località Buse ;AGRITUR MALGA SASS;0;0;0;0;5;13;0;5;13;no;si;si;no;si;36;24;60;2;no;0;0;no;;no;;;;
357;703;09/08/2012;STABLUM MARIA ASSUNTA;no;38020;Rabbi;Frazione Piazzola  171/D;143088;0463;985280;no;no;stablum.mariaassunta@cia.legalmail.it;;0;;;Rabbi;Frazione Piazzola - Loc. Coler;MASO COLER;0;0;0;0;3;8;3;3;8;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;28;22;5;2
358;704;31/07/2012;PATERNOSTER LEONARDO;no;38020;Cagnò;Via Nazionale 56;146184;0348;7997787;no;no;leonardo.paternoster@pec.agritel.it;info@agriturvistalago.it;0;;;Cagnò;Via Della Croce 19;AGRITUR VISTA LAGO;0;0;0;0;6;11;6;6;11;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;22;16;10;2
359;705;30/03/2012;MANICA PAOLO;no;38060;Villa Lagarina;Via Caduti 15;179851;0380;7140827;no;no;MANICAPAOLO@LEGALMAIL.IT;paolomanica@virgilio.it;0;;;Villa Lagarina;Via Cà Vecia;AGRITUR BELLARIA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;40;0;40;2;no;0;0;no;;si;17;24;0;2
360;706;29/08/2012;GIACOMOZZI MIRTA;no;38047;Segonzano;Frazione Gaggio - civico 17;175318;0347;2500034;no;no;azagrmirtilla@cia.legalmail.it;mirtilla2005@libero.it;0;;;Segonzano;Frazione Gaggio - civico 17;AZIENDA AGRICOLA MIRTILLA;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;;;;
361;707;24/06/2011;MALGHE FOSSETTA E VENEGIA SOCIETA' SEMPLICE AGRICOLA;si;38054;Transacqua;Via Sanguarna 55/A;207248;0439;762119;si;si;MALGHEFOSVEN@PEC.COLDIRETTI.IT;;0;;;Tonadico;Località Val Venegia;MALGA VENEGIA;0;0;0;0;3;6;3;3;6;no;si;si;no;si;48;12;60;2;no;0;0;no;;no;;;;
362;708;20/09/2012;BRUNEL AURORA;no;38030;Soraga;Strada De Do Parè 19;210411;0462;768198;no;no;aurora.brunel@pec.agritel.it;ciasadopa@hotmail.com;0;;;Soraga;Strada De Do Parè;AGRITUR CIASA DO' PARE';2;3;6;3;0;0;0;3;6;si;no;no;no;no;0;0;0;0;no;0;0;si;;no;21;34;12;3
363;709;05/07/2012;SOCIETA' AGRICOLA PASCOLI ALTI S.S. (Malga Prardont);si;35020;Ponte San Nicolò PD;Via Marconi 59;392863;0392;4081988;si;si;INFO@PEC.PASCOLIALTI.IT;mattiamarcato@alice.it;0;;;Castelfondo;Località Prardont;MALGA PRARDONT;0;0;0;0;3;14;1;3;14;no;si;si;no;si;15;5;20;1;no;0;0;si;;si;;;;
364;710;05/07/2012;SOCIETA' AGRICOLA PASCOLI ALTI S.S. (Malga Castrin);no;35020;Ponte San Nicolò PD;Via Marconi 59;392863;0392;4081988;si;si;INFO@PEC.PASCOLIALTI.IT;mattiamarcato@alice.it;0;;;Castelfondo;Località Castrin;MALGA CASTRIN;0;0;0;0;3;15;1;3;15;no;si;si;no;si;10;10;20;1;no;0;0;si;;si;;;;
365;711;10/10/2012;VAZZOLER MARCO;no;38123;Trento;Via Casteller 20;211470;0393;9985655;no;no;AGRITURCASTELLER@PEC.NET;info@agriturcasteller.com;0;;;Trento;Località Casteller 20;AGRITUR CASTELLER;0;0;0;0;7;12;4;7;12;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;33;31;15;4
366;712;26/11/2012;LA FONTE AZIENDA AGRICOLA E FATTORIA DIDATTICA DI MONTI ELISABETTA E SARA S.S.A.;no;38064;Folgaria;Località Gruim - Frazione Mezzomonte;211483;0464;720041;si;no;AZ.AGR.LAFONTE@PEC.IT;info@la-fonte.org;0;;;Folgaria;Località Gruim - Frazione Mezzomonte;LA FONTE AZIENDA AGRICOLA E FATTORIA DIDATTICA DI MONTI ELISABETTA E SARA S.S.A.;1;1;4;1;0;0;0;1;4;si;no;no;no;si;10;0;10;1;no;0;0;si;;si;;;;
367;713;26/10/2012;CARLI PAOLO;no;38016;Mezzocorona;Corso Libertà 15;149604;0461;601508;no;no;paolo.carli@pec.agritel.it;paolocic@95-surfing.net;0;;;Mezzolombardo;Località Galletta 4;LA TORRETTA;0;0;0;0;6;16;5;6;16;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;;;;
368;714;12/12/2012;MAINES CHRISTIAN;no;38010;Andalo;Via Laghet 8/B;197109;0320;957592;no;no;MAINESCHRISTIAN@PEC.COLDIRETTI.IT;;0;;;Andalo;Via Laghet 8/B;AGRITUR DA LUCIA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;30;0;30;2;no;0;0;si;;si;21;29;11;3
369;715;14/11/2012;TOMASI FALIERO;no;38056;Levico Terme;Via Strada Romana 28/B;167188;0339;6768993;no;no;TOMASIFAL@PEC.IT;faliero.airone@live.it;0;;;Levico Terme;Via Strada Romana 28/B;CENTRO EQUITURISTICO AIRONE;1;1;3;1;4;9;4;5;12;si;si;si;no;no;0;0;0;0;no;0;0;si;;no;25;20;14;2
370;716;20/09/2012;PALLAORO GEMMA;si;38050;S. Orsola Terme;Località Pizoi 10;154708;0340;8794350;no;no;no pec;;925;;;S. Orsola Terme;Località Pizoi 11;AGRITUR LA GEMMA;0;0;0;0;7;17;7;7;17;no;si;si;no;si;23;0;23;1;no;0;0;si;;si;39;33;17;4
371;717;20/12/2012;BORTOLAMEDI FLORA;no;38010;Faedo;Via Case Sparse - Loc. Tho 13;183160;0461;651025;no;no;flora.bortolamedi@cia.legalmail.it;remo.fontana@virgilio.it;0;;;Faedo;Via Case Sparse - Loc. Tho 13/A;AGRITUR LA FAGITANA;0;0;0;0;5;8;5;5;8;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;29;25;12;3
372;718;27/12/2012;MASO CHEMELA SOCIETA' SEMPLICE AGRICOLA;no;38033;Cavalese;Località Marco 30;210800;0462;239390;si;no;MASOCHEMELA@LEGALMAIL.IT;info@masochemela.it;0;;;Cavalese;Via Marco 30;MASO CHEMELA;0;0;0;0;11;22;11;11;22;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;40;30;14;3
